T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1916.664997	1	99	0.7232322387	0.005139452632	0.8320534336	99.16794657	2.245175692	97.75482431			0	0	-1916.664997	0.005139452632	-4718.18740208439	
1916.584997	1	99	0.7246549524	0.005122552386	0.8348054481	99.16519455	2.252437586	97.74756241			0	0	-1916.584997	0.005122552386	-4749.28233103829	
1916.504997	1	99	0.7260657293	0.005105762607	0.8375575422	99.16244246	2.2596987	97.7403013			0	0	-1916.504997	0.005105762607	-4780.47559575311	
1916.424997	1	99	0.7274647082	0.005089082198	0.8403097157	99.15969028	2.266959034	97.73304097			0	0	-1916.424997	0.005089082198	-4811.77319438988	
1916.344997	1	99	0.7288520257	0.005072510126	0.8430619686	99.15693803	2.274218589	97.72578141			0	0	-1916.344997	0.005072510126	-4843.17549714004	
1916.264997	1	99	0.7302278165	0.005056045325	0.8458143006	99.1541857	2.281477366	97.71852263			0	0	-1916.264997	0.005056045325	-4874.67776649584	
1916.184997	1	99	0.7315922131	0.005039686756	0.8485667114	99.15143329	2.288735363	97.71126464			0	0	-1916.184997	0.005039686756	-4906.28155221231	
1916.104997	1	99	0.7329453463	0.005023433391	0.8513192011	99.1486808	2.295992582	97.70400742			0	0	-1916.104997	0.005023433391	-4937.98877050281	
1916.024997	1	99	0.7342873448	0.00500728423	0.8540717693	99.14592823	2.303249024	97.69675098			0	0	-1916.024997	0.00500728423	-4969.7958065212	
1915.944997	1	99	0.7356183356	0.004991238248	0.856824416	99.14317558	2.310504687	97.68949531			0	0	-1915.944997	0.004991238248	-5001.71006242192	
1915.864997	1	99	0.7369384437	0.004975294517	0.8595771408	99.14042286	2.317759573	97.68224043			0	0	-1915.864997	0.004975294517	-5033.7222124636	
1915.784997	1	99	0.7382477923	0.00495945198	0.8623299438	99.13767006	2.325013681	97.67498632			0	0	-1915.784997	0.00495945198	-5065.83415833749	
1915.704997	1	99	0.739546503	0.004943709743	0.8650828246	99.13491718	2.332267013	97.66773299			0	0	-1915.704997	0.004943709743	-5098.05350371395	
1915.624997	1	99	0.7408346953	0.004928066824	0.8678357831	99.13216422	2.339519568	97.66048043			0	0	-1915.624997	0.004928066824	-5130.37319531245	
1915.544997	1	99	0.7421124874	0.004912522307	0.8705888192	99.12941118	2.346771346	97.65322865			0	0	-1915.544997	0.004912522307	-5162.79383227871	
1915.464997	1	99	0.7433799955	0.004897075239	0.8733419326	99.12665807	2.354022348	97.64597765			0	0	-1915.464997	0.004897075239	-5195.31569322717	
1915.384997	1	99	0.7446373343	0.004881724728	0.8760951232	99.12390488	2.361272575	97.63872743			0	0	-1915.384997	0.004881724728	-5227.94597750835	
1915.304997	1	99	0.7458846167	0.004866469887	0.8788483908	99.12115161	2.368522025	97.63147797			0	0	-1915.304997	0.004866469887	-5260.67118654907	
1915.224997	1	99	0.7471219543	0.004851309768	0.8816017353	99.11839826	2.375770701	97.6242293			0	0	-1915.224997	0.004851309768	-5293.49894330236	
1915.144997	1	99	0.7483494567	0.004836243549	0.8843551564	99.11564484	2.383018601	97.6169814			0	0	-1915.144997	0.004836243549	-5326.43021129355	
1915.064997	1	99	0.7495672323	0.004821270312	0.887108654	99.11289135	2.390265726	97.60973427			0	0	-1915.064997	0.004821270312	-5359.4661434854	
1914.984997	1	99	0.7507753879	0.00480638926	0.8898622279	99.11013777	2.397512077	97.60248792			0	0	-1914.984997	0.00480638926	-5392.60537579886	
1914.904997	1	99	0.7519740287	0.004791599491	0.892615878	99.10738412	2.404757654	97.59524235			0	0	-1914.904997	0.004791599491	-5425.84029633938	
1914.824997	1	99	0.7531632586	0.004776900185	0.895369604	99.1046304	2.412002456	97.58799754			0	0	-1914.824997	0.004776900185	-5459.18116191392	
1914.744997	1	99	0.7543431798	0.004762290518	0.8981234058	99.10187659	2.419246485	97.58075351			0	0	-1914.744997	0.004762290518	-5492.62221151666	
1914.664997	1	99	0.7555138933	0.004747769659	0.9008772833	99.09912272	2.426489741	97.57351026			0	0	-1914.664997	0.004747769659	-5526.16597056621	
1914.584997	1	99	0.7566754987	0.004733336817	0.9036312362	99.09636876	2.433732223	97.56626778			0	0	-1914.584997	0.004733336817	-5559.81316700169	
1914.504997	1	99	0.7578280941	0.004718991185	0.9063852643	99.09361474	2.440973932	97.55902607			0	0	-1914.504997	0.004718991185	-5593.56389828556	
