T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
551.9543155	97	3	0.9552722793	0.007193086079	88.88082503	11.11917497	57.43204918	42.56795082	0.2270973389	-0.2270973389	0	0	-551.9543155	0.007193086079	-112520.663926079	
549.3943155	97	3	0.9555970249	0.007170716705	88.75110887	11.24889113	57.20584705	42.79415295	0.2270857044	-0.2270857044	0	0	-549.3943155	0.007170716705	-116555.907622338	
546.8343155	97	3	0.9559184546	0.007149130745	88.62018118	11.37981882	56.97964472	43.02035528	0.2270859286	-0.2270859286	0	0	-546.8343155	0.007149130745	-120846.518415735	
544.2743155	97	3	0.9562366408	0.007128320535	88.48802789	11.51197211	56.75343033	43.24656967	0.227098055	-0.227098055	0	0	-544.2743155	0.007128320535	-125419.49634638	
541.7143155	97	3	0.956551654	0.007108278841	88.35463476	11.64536524	56.52719199	43.47280801	0.2271221317	-0.2271221317	0	0	-541.7143155	0.007108278841	-130305.803054243	
539.1543155	97	3	0.9568635632	0.007088998849	88.21998741	11.78001259	56.30091774	43.69908226	0.2271582114	-0.2271582114	0	0	-539.1543155	0.007088998849	-135528.439133851	
536.5943155	97	3	0.9571724352	0.007070470887	88.08407127	11.91592873	56.07459566	43.92540434	0.2272063511	-0.2272063511	0	0	-536.5943155	0.007070470887	-141183.089724309	
534.0343155	97	3	0.957478336	0.007052702136	87.94687162	12.05312838	55.84821338	44.15178662	0.2272667207	-0.2272667207	0	0	-534.0343155	0.007052702136	-147241.361066492	
531.4743155	97	3	0.9577813292	0.007035667125	87.80837357	12.19162643	55.62175905	44.37824095	0.2273390636	-0.2273390636	0	0	-531.4743155	0.007035667125	-153776.237652122	
528.9143155	97	3	0.9580814773	0.007019373993	87.66856204	12.33143796	55.39522038	44.60477962	0.2274237746	-0.2274237746	0	0	-528.9143155	0.007019373993	-160911.363746813	
526.3543155	97	3	0.9583788413	0.007003814581	87.52742182	12.47257818	55.16858506	44.83141494	0.2275208222	-0.2275208222	0	0	-526.3543155	0.007003814581	-168673.267045467	
523.7943155	97	3	0.9586734809	0.006988984466	87.3849375	12.6150625	54.94184074	45.05815926	0.2276302908	-0.2276302908	0	0	-523.7943155	0.006988984466	-177170.982558998	
521.2343155	97	3	0.9589654541	0.006974879609	87.24109351	12.75890649	54.71497495	45.28502505	0.2277522583	-0.2277522583	0	0	-521.2343155	0.006974879609	-186519.167660586	
518.6743155	97	3	0.959254818	0.006961496345	87.09587411	12.90412589	54.48797514	45.51202486	0.227886825	-0.227886825	0	0	-518.6743155	0.006961496345	-196857.655642515	
516.1143155	97	3	0.9595416281	0.006948831383	86.94926338	13.05073662	54.26082869	45.73917131	0.2280340849	-0.2280340849	0	0	-516.1143155	0.006948831383	-208358.778645691	
513.5543155	97	3	0.9598259387	0.006936881799	86.80124524	13.19875476	54.03352283	45.96647717	0.2281941404	-0.2281941404	0	0	-513.5543155	0.006936881799	-221237.443788617	
