T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
664.0120389	89	1	10	0.7624739342	0.01040756021	93.64665149	0.05273008579	6.30061842	62.45378401	3.669139064	33.87707693				0	0	0				-664.0120389	0.01040756021	-44412.6606121028	
661.4520389	89	1	10	0.7649495264	0.01035108148	93.56301022	0.05091972439	6.386070059	62.12839528	3.706984302	34.16462042				0	0	0				-661.4520389	0.01035108148	-46352.652496308	
658.8920389	89	1	10	0.767386606	0.01029699886	93.47858467	0.04914335336	6.472271974	61.80221696	3.745042043	34.452741				0	0	0				-658.8920389	0.01029699886	-48443.1800694217	
656.3320389	89	1	10	0.7697863911	0.01024528466	93.39336295	0.04740138991	6.55923566	61.47519913	3.783318722	34.74148215				0	0	0				-656.3320389	0.01024528466	-50705.2707804759	
653.7720389	89	1	10	0.7721500586	0.01019591451	93.30733288	0.04569420695	6.64697291	61.14729055	3.821821001	35.03088845				0	0	0				-653.7720389	0.01019591451	-53164.1347296228	
651.2120389	89	1	10	0.7744787459	0.01014886727	93.22048204	0.04402213366	6.735495827	60.81843857	3.860555783	35.32100565				0	0	0				-651.2120389	0.01014886727	-55850.2673025369	
648.6520389	89	1	10	0.7767735534	0.01010412512	93.13279769	0.04238545608	6.82481685	60.48858901	3.899530228	35.61188076				0	0	0				-648.6520389	0.01010412512	-58800.9278919572	
646.0920389	89	1	10	0.7790355463	0.01006167355	93.04426682	0.04078441775	6.914948762	60.15768612	3.938751765	35.90356212				0	0	0				-646.0920389	0.01006167355	-62062.0588532845	
643.5320389	89	1	10	0.7812657564	0.01002150138	92.95487606	0.03921922033	7.005904716	59.82567239	3.978228106	36.19609951				0	0	0				-643.5320389	0.01002150138	-65691.0288503076	
640.9720389	89	1	10	0.783465184	0.009983600842	92.86461172	0.03769002429	7.097698255	59.49248851	4.01796727	36.48954422				0	0	0				-640.9720389	0.009983600842	-69760.435300106	
638.4120389	89	1	10	0.7856347996	0.009947967652	92.77345972	0.03619694959	7.19034333	59.15807322	4.057977593	36.78394918				0	0	0				-638.4120389	0.009947967652	-74363.4604271954	
