T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
624.3323063	97	2	1	1	0.972976496	99.69408346	0.2952257009	0.01069083784				0	63.38009805	36.61990195				-624.3323063	0.972976496	-96107.917964315	
624.2523063	97	2	1	1	0.9729756646	99.69416865	0.2951717925	0.01065955385				0	63.38009805	36.61990195				-624.2523063	0.9729756646	-96333.5653968754	
624.1723063	97	2	1	1	0.9729748351	99.69425364	0.2951180121	0.01062834422				0	63.38009805	36.61990195				-624.1723063	0.9729748351	-96560.329628153	
624.0923063	97	2	1	1	0.9729740076	99.69433843	0.2950643597	0.01059720883				0	63.38009805	36.61990195				-624.0923063	0.9729740076	-96793.9917979227	
624.0123063	97	2	1	1	0.9729731821	99.69442302	0.2950108351	0.01056614758				0	63.38009805	36.61990195				-624.0123063	0.9729731821	-97022.8759806174	
623.9323063	97	2	1	1	0.9729723585	99.6945074	0.294957438	0.01053516035				0	63.38009805	36.61990195				-623.9323063	0.9729723585	-97258.8422897785	
623.8523063	97	2	1	1	0.972971537	99.69459158	0.2949041683	0.01050424703				0	63.38009805	36.61990195				-623.8523063	0.972971537	-97489.8762615781	
623.7723063	97	2	1	1	0.9729707173	99.69467557	0.2948510257	0.01047340751				0	63.38009805	36.61990195				-623.7723063	0.9729707173	-97722.180674407	
623.6923063	97	2	1	1	0.9729698997	99.69475935	0.2947980101	0.01044264168				0	63.38009805	36.61990195				-623.6923063	0.9729698997	-97961.4480169795	
623.6123063	97	2	1	1	0.972969084	99.69484293	0.2947451213	0.01041194943				0	63.38009805	36.61990195				-623.6123063	0.972969084	-98189.8957076292	
623.5323063	97	2	1	1	0.9729682702	99.69492631	0.2946923591	0.01038133064				0	63.38009805	36.61990195				-623.5323063	0.9729682702	-98425.4948150274	
623.4523063	97	2	1	1	0.9729674584	99.69500949	0.2946397233	0.0103507852				0	63.38009805	36.61990195				-623.4523063	0.9729674584	-98662.1688718927	
623.3723063	97	2	1	1	0.9729666485	99.69509247	0.2945872138	0.01032031301				0	63.38009805	36.61990195				-623.3723063	0.9729666485	-98900.0426889897	
623.2923063	97	2	1	1	0.9729658406	99.69517526	0.2945348302	0.01028991394				0	63.38009805	36.61990195				-623.2923063	0.9729658406	-99145.1799964787	
623.2123063	97	2	1	1	0.9729650347	99.69525784	0.2944825724	0.01025958789				0	63.38009805	36.61990195				-623.2123063	0.9729650347	-99379.1304264413	
623.1323063	97	2	1	1	0.9729642306	99.69534022	0.2944304403	0.01022933474				0	63.38009805	36.61990195				-623.1323063	0.9729642306	-99614.3046617322	
623.0523063	97	2	1	1	0.9729634285	99.69542241	0.2943784336	0.01019915438				0	63.38009805	36.61990195				-623.0523063	0.9729634285	-99863.0000175135	
622.9723063	97	2	1	1	0.9729626284	99.6955044	0.2943265522	0.01016904671				0	63.38009805	36.61990195				-622.9723063	0.9729626284	-100106.645949197	
622.8923063	97	2	1	1	0.9729618302	99.69558619	0.2942747958	0.0101390116				0	63.38009805	36.61990195				-622.8923063	0.9729618302	-100338.898622703	
622.8123063	97	2	1	1	0.9729610338	99.69566779	0.2942231642	0.01010904895				0	63.38009805	36.61990195				-622.8123063	0.9729610338	-100584.998874812	
622.7323063	97	2	1	1	0.9729602395	99.69574918	0.2941716573	0.01007915864				0	63.38009805	36.61990195				-622.7323063	0.9729602395	-100832.1223667	
622.6523063	97	2	1	1	0.972959447	99.69583038	0.2941202749	0.01004934056				0	63.38009805	36.61990195				-622.6523063	0.972959447	-101074.232975605	
